t_s,flux,flux_err
159.346,8.80909e-10,1.31318e-10
160.677,9.06516e-10,1.35136e-10
161.898,1.19818e-09,1.78614e-10
162.867,1.17212e-09,1.76365e-10
163.936,9.9605e-10,1.48482e-10
165.047,1.14983e-09,1.71407e-10
166.118,1.04197e-09,1.55327e-10
167.4,9.53216e-10,1.45079e-10
168.449,1.11275e-09,1.6588e-10
169.438,1.0351e-09,1.54304e-10
170.56,1.04203e-09,1.58596e-10
171.82,8.57447e-10,1.27821e-10
173.094,1.03002e-09,1.53547e-10
174.175,1.1141e-09,1.6608e-10
175.304,9.59123e-10,1.42978e-10
176.327,1.18905e-09,1.84804e-10
177.407,9.08589e-10,1.35444e-10
178.669,1.11408e-09,1.66078e-10
179.668,1.24066e-09,1.84947e-10
180.63,1.1492e-09,1.71313e-10
181.872,9.01004e-10,1.34314e-10
183.152,9.27819e-10,1.38311e-10
184.181,1.28523e-09,1.99753e-10
185.083,1.13753e-09,1.73131e-10
186.138,1.05448e-09,1.55475e-10
187.181,1.21753e-09,1.81498e-10
188.32,7.65227e-10,1.14073e-10
189.718,1.18881e-09,1.77218e-10
190.781,8.82851e-10,1.31608e-10
192.072,1.15539e-09,1.72236e-10
193.272,7.73443e-10,1.17718e-10
194.595,9.59199e-10,1.49081e-10
195.751,1.10102e-09,1.64131e-10
196.796,9.31057e-10,1.44707e-10
197.87,1.16017e-09,1.76577e-10
199.021,8.96863e-10,1.39392e-10
200.308,1.05663e-09,1.57513e-10
201.309,1.08047e-09,1.64447e-10
202.443,9.3379e-10,1.45131e-10
203.643,1.14528e-09,1.70728e-10
204.761,9.98627e-10,1.48867e-10
205.869,1.11793e-09,1.70148e-10
206.792,1.2647e-09,1.8853e-10
207.669,1.31811e-09,1.96492e-10
208.731,9.5357e-10,1.4215e-10
209.9,9.25454e-10,1.40853e-10
211.09,1.20867e-09,1.80178e-10
211.883,1.35232e-09,2.05823e-10
212.946,9.11174e-10,1.3868e-10
214.082,1.28293e-09,1.99396e-10
214.948,1.09196e-09,1.62779e-10
216.233,9.25549e-10,1.40868e-10
217.336,1.00488e-09,1.49799e-10
218.381,1.26484e-09,1.88552e-10
219.431,1.24321e-09,1.85327e-10
220.426,9.78919e-10,1.48991e-10
221.504,1.21719e-09,1.85255e-10
222.331,1.50027e-09,2.23647e-10
223.211,1.14697e-09,1.74568e-10
224.401,9.44615e-10,1.40815e-10
225.589,1.07878e-09,1.67667e-10
226.503,1.52592e-09,2.27471e-10
227.362,1.19227e-09,1.81462e-10
228.442,9.6904e-10,1.44456e-10
229.511,1.55769e-09,2.32207e-10
230.353,1.35708e-09,2.02301e-10
231.192,1.38777e-09,2.06876e-10
232.172,1.19373e-09,1.7795e-10
233.078,1.19774e-09,1.82295e-10
234.236,1.00813e-09,1.56685e-10
235.139,1.35134e-09,2.10028e-10
235.945,1.25527e-09,1.87125e-10
236.942,1.21275e-09,1.8458e-10
237.993,1.17518e-09,1.78862e-10
238.928,1.1105e-09,1.69017e-10
239.945,1.19607e-09,1.85896e-10
240.833,1.32484e-09,2.0164e-10
241.684,1.28481e-09,1.91528e-10
242.583,1.38455e-09,2.10727e-10
243.551,1.09028e-09,1.62529e-10
244.594,1.10882e-09,1.65293e-10
245.762,9.57334e-10,1.45706e-10
246.8,1.15987e-09,1.72903e-10
247.865,1.33737e-09,1.99364e-10
248.644,1.22205e-09,1.85995e-10
249.662,1.12412e-09,1.7109e-10
250.654,1.22489e-09,1.82596e-10
251.657,1.14366e-09,1.70487e-10
252.658,1.05695e-09,1.57561e-10
253.708,1.22208e-09,1.85999e-10
254.638,1.2159e-09,1.81255e-10
255.645,1.26444e-09,1.98254e-10
256.626,9.29927e-10,1.41534e-10
257.855,1.05717e-09,1.57593e-10
258.767,1.48966e-09,2.22066e-10
259.692,1.05972e-09,1.61289e-10
260.762,1.08283e-09,1.64807e-10
261.666,1.55686e-09,2.32084e-10
262.504,1.28268e-09,1.9121e-10
263.417,1.25316e-09,1.90729e-10
264.291,1.26302e-09,1.96301e-10
265.173,1.44381e-09,2.19747e-10
265.999,1.47007e-09,2.23744e-10
266.95,1.00991e-09,1.50549e-10
268.071,9.56107e-10,1.45519e-10
269.263,1.03708e-09,1.54598e-10
270.34,1.18096e-09,1.76047e-10
271.548,8.39224e-10,1.25104e-10
272.575,1.51024e-09,2.25134e-10
273.353,1.447e-09,2.20232e-10
274.132,1.61745e-09,2.46174e-10
275.028,1.18199e-09,1.79898e-10
275.829,1.52785e-09,2.27759e-10
276.656,1.20488e-09,1.79614e-10
277.588,1.41567e-09,2.11036e-10
278.525,1.13891e-09,1.80795e-10
279.365,1.35706e-09,2.02299e-10
280.222,1.63052e-09,2.43063e-10
280.858,1.71138e-09,2.55117e-10
281.605,1.70287e-09,2.59175e-10
282.264,1.47625e-09,2.20067e-10
283.015,1.91095e-09,2.84868e-10
283.699,1.37318e-09,2.08996e-10
284.69,1.17467e-09,1.75109e-10
285.618,1.22287e-09,1.82294e-10
286.425,1.75855e-09,2.6765e-10
287.114,1.51864e-09,2.31135e-10
287.914,1.24147e-09,1.85068e-10
288.817,1.61453e-09,2.40681e-10
289.571,1.44699e-09,2.15705e-10
290.376,1.58974e-09,2.41957e-10
291.115,1.36848e-09,2.04001e-10
291.904,1.51736e-09,2.26196e-10
292.853,1.05047e-09,1.56594e-10
293.731,1.96844e-09,2.93438e-10
294.421,1.47301e-09,2.19584e-10
295.314,1.17876e-09,1.83205e-10
296.102,1.70257e-09,2.53804e-10
296.877,1.47636e-09,2.20083e-10
297.679,1.28814e-09,1.96054e-10
298.502,1.55678e-09,2.32072e-10
299.397,1.20544e-09,1.87352e-10
300.252,1.48618e-09,2.21547e-10
301.033,1.36545e-09,2.0355e-10
301.897,1.32406e-09,1.9738e-10
302.857,1.21533e-09,1.84973e-10
303.656,1.43411e-09,2.1827e-10
304.486,1.56052e-09,2.32629e-10
305.266,1.47615e-09,2.20051e-10
305.894,2.08728e-09,3.11154e-10
306.635,1.29017e-09,1.92327e-10
307.533,1.19819e-09,1.78615e-10
308.349,1.80783e-09,2.7515e-10
309.015,1.8181e-09,2.73565e-10
309.855,1.17256e-09,1.74796e-10
310.802,1.32084e-09,2.05287e-10
311.529,1.52937e-09,2.32769e-10
312.356,1.57031e-09,2.38999e-10
313.111,1.43745e-09,2.14283e-10
313.871,1.51728e-09,2.26183e-10
314.622,1.42492e-09,2.12415e-10
315.542,1.25328e-09,1.86829e-10
316.408,1.36926e-09,2.12813e-10
317.264,1.46312e-09,2.18109e-10
317.979,1.57186e-09,2.3432e-10
318.862,1.29589e-09,1.97233e-10
319.709,1.40946e-09,2.1011e-10
320.459,1.39383e-09,2.1214e-10
321.379,1.29016e-09,1.92325e-10
322.271,1.2199e-09,1.85669e-10
323.204,1.1438e-09,1.70508e-10
324.144,1.66345e-09,2.47972e-10
325.026,1.2366e-09,1.84342e-10
325.822,1.44047e-09,2.14732e-10
326.534,1.7584e-09,2.67627e-10
327.387,1.16875e-09,1.795e-10
328.189,1.88333e-09,2.8075e-10
328.834,1.48957e-09,2.22053e-10
329.601,1.5315e-09,2.28303e-10
330.377,1.53513e-09,2.28844e-10
331.203,1.4502e-09,2.16183e-10
331.934,1.72572e-09,2.62653e-10
332.624,1.51734e-09,2.26192e-10
333.417,1.60266e-09,2.38911e-10
334.193,1.35996e-09,2.02732e-10
335.058,1.32531e-09,2.01711e-10
336.048,1.08345e-09,1.61512e-10
337.081,1.24856e-09,1.86125e-10
337.822,1.748e-09,2.60577e-10
338.501,1.74798e-09,2.60573e-10
339.108,2.222e-09,3.31236e-10
339.698,1.72498e-09,2.57144e-10
340.42,1.43422e-09,2.18287e-10
341.185,1.44377e-09,2.15224e-10
342.012,1.557e-09,2.32103e-10
342.785,1.42183e-09,2.11955e-10
343.606,1.45717e-09,2.26476e-10
344.35,1.57413e-09,2.39582e-10
345.06,1.44707e-09,2.20243e-10
345.802,1.90546e-09,2.84049e-10
346.627,1.2509e-09,1.86474e-10
347.448,1.35873e-09,2.06797e-10
348.224,1.79277e-09,2.72857e-10
348.814,2.05475e-09,3.06304e-10
349.527,1.44376e-09,2.15223e-10
350.243,1.43743e-09,2.14279e-10
351.05,1.69375e-09,2.52489e-10
351.751,1.52726e-09,2.3737e-10
352.537,1.56812e-09,2.33761e-10
353.198,1.77635e-09,2.64802e-10
353.931,1.48634e-09,2.2157e-10
354.732,1.53509e-09,2.28838e-10
355.46,1.67216e-09,2.4927e-10
356.081,1.57947e-09,2.35454e-10
356.84,1.95081e-09,2.9081e-10
