t_s,flux,flux_err
114.671,1.57328e-10,4.0622e-11
152.497,7.05156e-11,1.57835e-11
210.404,6.65975e-11,1.49214e-11
245.173,8.25465e-11,1.84949e-11
317.778,3.52301e-11,7.89344e-12
397.555,4.3133e-11,9.66411e-12
477.686,4.13359e-11,9.05464e-12
555.679,3.28981e-11,7.37832e-12
646.231,6.5317e-11,1.39763e-11
714.206,4.21172e-11,8.82798e-12
799.887,3.80377e-11,8.5567e-12
898.461,3.28453e-11,7.38867e-12
1036.87,2.9621e-11,4.71879e-12
5038.89,1.25205e-11,2.77434e-12
5217.26,1.3136e-11,2.97802e-12
5356.28,1.70887e-11,3.86074e-12
5520.26,1.06142e-11,2.40078e-12
5720.59,1.11497e-11,2.53649e-12
5898.02,1.21584e-11,2.73742e-12
6100.74,1.25373e-11,2.82597e-12
6250.47,1.12802e-11,2.54554e-12
6439.92,1.43155e-11,3.23049e-12
6661.66,6.89207e-12,1.40401e-12
10265.9,6.12482e-12,1.59751e-12
10551.6,4.50569e-12,1.13897e-12
10815.3,5.02722e-12,1.31681e-12
11062.2,8.79757e-12,1.97341e-12
11289.8,5.89027e-12,1.54551e-12
11551,4.65614e-12,1.21962e-12
11938.4,3.69602e-12,9.73928e-13
12227.3,5.67989e-12,1.43579e-12
12482.4,4.68504e-12,1.22198e-12
16116,2.58696e-12,6.76359e-13
16720.5,3.78198e-12,9.85123e-13
17168.7,2.78214e-12,7.26035e-13
17844.4,2.76254e-12,5.70968e-13
22109.8,1.66449e-12,4.39804e-13
22675.3,2.60019e-12,6.8136e-13
23422.2,1.61848e-12,3.79276e-13
