t_s,flux,flux_err
113.965,3.53975e-08,3.52572e-09
114.633,1.37624e-08,1.67692e-09
116.327,5.71699e-09,6.94863e-10
119.082,7.12107e-09,8.65392e-10
120.025,2.80734e-08,3.4157e-09
120.741,1.23623e-08,1.50841e-09
121.725,2.35234e-08,2.76806e-09
129.956,4.23344e-09,5.172e-10
130.503,3.25997e-09,3.98271e-10
131.148,3.92035e-09,4.7895e-10
131.717,3.412e-09,4.24045e-10
132.347,3.20333e-09,3.98111e-10
133.04,3.34565e-09,4.15799e-10
133.645,2.7665e-09,4.12407e-10
134.198,3.18632e-09,3.95997e-10
134.913,3.18336e-09,3.88912e-10
135.545,3.45109e-09,4.28903e-10
136.147,3.13664e-09,3.89823e-10
136.887,3.01049e-09,3.67792e-10
137.605,2.75228e-09,3.44726e-10
138.291,2.66738e-09,3.97631e-10
138.93,2.49716e-09,3.81884e-10
139.442,2.93507e-09,3.78918e-10
140.002,2.67584e-09,3.98893e-10
140.585,2.92967e-09,4.22864e-10
141.218,3.36634e-09,4.11267e-10
141.884,2.0259e-09,3.02004e-10
142.543,3.23235e-09,3.94898e-10
143.263,2.18256e-09,3.25359e-10
143.911,2.88595e-09,3.64901e-10
144.581,2.91025e-09,3.889e-10
145.262,2.3723e-09,3.53644e-10
145.884,2.01093e-09,2.99772e-10
146.525,2.64726e-09,4.15407e-10
147.21,1.75474e-09,2.68347e-10
147.945,2.33843e-09,3.48594e-10
148.532,2.6488e-09,3.94861e-10
149.075,2.40018e-09,3.57799e-10
149.725,2.12054e-09,3.24289e-10
150.367,2.60657e-09,3.88566e-10
151,2.03052e-09,3.02693e-10
151.627,2.69158e-09,4.01239e-10
152.234,2.43527e-09,3.63029e-10
152.778,2.82119e-09,4.3737e-10
153.335,1.85555e-09,2.83765e-10
154.134,2.04962e-09,3.13443e-10
154.888,1.55708e-09,2.3812e-10
155.795,2.19367e-09,3.27015e-10
156.433,1.64638e-09,2.45429e-10
157.347,1.97649e-09,2.94639e-10
158.089,1.78145e-09,2.72433e-10
158.874,1.71077e-09,2.68453e-10
159.775,1.61986e-09,2.47721e-10
160.539,2.18204e-09,3.2528e-10
161.21,1.63303e-09,2.49735e-10
162.124,1.8346e-09,2.73488e-10
162.855,2.15897e-09,3.21842e-10
163.532,2.13633e-09,3.18467e-10
164.09,2.82578e-09,4.16641e-10
164.731,2.30216e-09,3.52064e-10
165.421,1.66344e-09,2.54386e-10
166.172,2.12528e-09,3.16819e-10
166.984,1.74096e-09,2.73191e-10
167.704,2.14763e-09,3.20152e-10
168.382,1.92983e-09,2.87683e-10
169.159,1.75965e-09,2.62315e-10
170.068,1.38214e-09,2.06038e-10
171.118,1.58263e-09,2.35926e-10
172.04,1.49353e-09,2.34364e-10
173.044,1.18992e-09,1.81972e-10
174.145,1.7041e-09,2.54034e-10
175.176,1.19094e-09,1.86882e-10
176.196,1.54337e-09,2.30073e-10
177.507,1.00488e-09,1.49799e-10
178.592,1.49014e-09,2.27883e-10
179.598,1.39348e-09,2.07729e-10
180.638,1.3498e-09,2.01218e-10
181.761,1.27692e-09,1.95277e-10
182.826,1.45775e-09,2.22931e-10
183.982,1.11809e-09,1.80075e-10
185.105,1.14756e-09,1.75494e-10
186.59,9.38154e-10,1.39852e-10
188.048,1.04881e-09,1.56349e-10
189.399,1.23391e-09,1.83941e-10
190.5,1.3216e-09,1.97014e-10
191.738,1.07391e-09,1.64231e-10
193.105,9.96461e-10,1.48544e-10
194.386,1.19095e-09,1.77537e-10
195.924,8.84523e-10,1.31858e-10
197.359,1.21935e-09,1.81771e-10
198.529,1.13637e-09,1.694e-10
199.831,9.60317e-10,1.43156e-10
201.36,1.07587e-09,1.68826e-10
202.787,7.35038e-10,1.12408e-10
204.942,7.31705e-10,1.11898e-10
206.813,8.1564e-10,1.24734e-10
208.686,6.77319e-10,1.00969e-10
210.956,6.37223e-10,9.4992e-11
213.17,6.28887e-10,9.86848e-11
215.254,8.15737e-10,1.21604e-10
217.202,7.22778e-10,1.07746e-10
219.478,5.35811e-10,7.98744e-11
222.021,6.01166e-10,8.96169e-11
225.016,4.23066e-10,6.46984e-11
227.625,7.25346e-10,1.08129e-10
230.25,4.4179e-10,6.58585e-11
234.202,3.63368e-10,5.5569e-11
237.665,3.86119e-10,5.75596e-11
241.717,3.1278e-10,5.03752e-11
246.38,3.11358e-10,4.88582e-11
250.769,3.53644e-10,5.54937e-11
254.567,3.39161e-10,5.32211e-11
258.906,2.50129e-10,4.56672e-11
262.419,2.74077e-10,5.00395e-11
266.986,2.346e-10,4.45083e-11
270.169,2.44771e-10,4.82817e-11
274.46,3.40366e-10,5.0739e-11
279.344,2.01729e-10,3.68306e-11
284.24,2.21459e-10,4.04328e-11
290.597,1.21401e-10,2.21648e-11
297.856,1.38321e-10,2.62424e-11
303.893,1.79073e-10,3.26942e-11
310.105,1.28941e-10,2.35414e-11
317.319,1.43379e-10,2.61773e-11
324.804,1.09356e-10,2.24407e-11
349.475,6.78361e-11,1.51686e-11
366.401,7.74947e-11,1.73559e-11
