t_s,flux,flux_err
116.252,7.52151e-11,1.82425e-11
152.939,8.92515e-11,2.01143e-11
187.791,9.22106e-11,1.97154e-11
215.762,9.63479e-11,2.17137e-11
254.204,7.27962e-11,1.63032e-11
301.775,5.29704e-11,1.16632e-11
351.235,8.07449e-11,1.77255e-11
387.551,6.7711e-11,1.52839e-11
435.2,8.15587e-11,1.84096e-11
467,9.79918e-11,2.09813e-11
494.256,1.01406e-10,2.22611e-11
527.705,9.25427e-11,2.03458e-11
561.675,8.10401e-11,1.77637e-11
595.253,9.46177e-11,2.07089e-11
628.718,8.82551e-11,1.98898e-11
657.064,1.15967e-10,2.6094e-11
685.372,8.24268e-11,1.8518e-11
724.221,8.29792e-11,1.85838e-11
761.267,5.76052e-11,1.26837e-11
823.442,5.01045e-11,1.13097e-11
890.742,3.37697e-11,7.63461e-12
961.019,6.37887e-11,1.43759e-11
1006.68,5.01391e-11,1.13894e-11
1074.03,4.80618e-11,1.07976e-11
1140.73,4.15937e-11,9.14452e-12
1213.64,3.70268e-11,8.34461e-12
1305.86,3.90811e-11,7.23312e-12
5147.81,8.34935e-12,1.87628e-12
5279.54,1.08595e-11,2.46218e-12
5407.77,1.37884e-11,3.11032e-12
5560.55,9.92295e-12,2.24717e-12
5717.93,9.03174e-12,2.03341e-12
5843.99,1.18365e-11,2.59016e-12
6016.11,8.25363e-12,1.87465e-12
6186.06,1.25699e-11,2.84101e-12
6319.26,1.05424e-11,2.00369e-12
23062.6,2.18139e-12,4.20688e-13
27950.2,1.74923e-12,4.58218e-13
28287.3,1.98075e-12,5.16842e-13
28701.3,1.85738e-12,4.89285e-13
29111.7,1.3543e-12,3.18035e-13
34571.4,1.02866e-12,2.03434e-13
