t_s,flux,flux_err
121.296,8.41835e-10,1.35129e-10
127.137,7.90481e-10,1.3107e-10
136.429,3.58438e-10,6.80446e-11
149.765,2.13089e-10,4.77985e-11
172.288,1.28258e-10,2.73838e-11
219.556,2.81924e-11,6.41508e-12
337.586,4.56091e-11,1.02307e-11
392.38,7.03998e-11,1.58166e-11
431.387,9.55714e-11,2.10766e-11
463.456,1.16187e-10,2.6145e-11
496.808,9.56097e-11,2.09265e-11
527.907,1.225e-10,2.68526e-11
556.576,9.14531e-11,2.05466e-11
604.224,5.12573e-11,1.15159e-11
680.443,3.81472e-11,8.42546e-12
752.432,5.58386e-11,1.25451e-11
839.181,3.50288e-11,7.94524e-12
936.184,2.70222e-11,6.12919e-12
1044.12,2.85475e-11,6.49589e-12
1158.87,2.23222e-11,5.07122e-12
1346.47,1.80513e-11,4.12072e-12
1519.18,1.34746e-11,3.09084e-12
1776.93,1.52775e-11,3.51006e-12
1954,1.26102e-11,2.85159e-12
2110.41,7.87924e-12,1.3303e-12
5678.49,9.58822e-12,2.15392e-12
5789.06,8.48125e-12,1.91634e-12
5919.69,5.75651e-12,1.30677e-12
6081.47,5.43112e-12,1.22431e-12
6241.95,6.97608e-12,1.56531e-12
6372.64,7.88984e-12,1.78479e-12
6518.25,6.00027e-12,1.35576e-12
6678.26,6.9565e-12,1.52473e-12
6807.07,7.34123e-12,1.61797e-12
6982.98,4.70673e-12,1.06972e-12
7156.4,6.32779e-12,1.42645e-12
7294.69,7.53236e-12,1.66194e-12
7471.76,5.04058e-12,1.14828e-12
7623.23,6.4566e-12,1.45717e-12
7816.61,4.82344e-12,9.80967e-13
11545.9,3.17523e-12,7.83088e-13
11861.9,3.74906e-12,9.46092e-13
12047.4,5.00923e-12,1.12767e-12
12277.1,4.38665e-12,9.88263e-13
12512.3,3.86452e-12,8.70633e-13
12772,4.90557e-12,9.49855e-13
17424.7,2.87605e-12,7.50728e-13
17699.7,2.68745e-12,7.04303e-13
18012,2.64816e-12,6.93312e-13
18304.8,2.53047e-12,6.625e-13
18633.7,2.09775e-12,5.04804e-13
23324.7,1.59401e-12,3.3828e-13
29076.8,9.08981e-13,2.39328e-13
29726.4,1.00144e-12,2.63826e-13
30584.8,1.24429e-12,2.83555e-13
34516.1,8.44187e-13,2.77468e-13
