mjd_mid,tspan_d,n_obs,n_det,n_ph,f0,sigma_f,z2_coh,z2_incoh_sum,coherent
59458.47581362,0.074,1,1,81627,11.1841800424,7.609e-06,27.2,27.3,True
59468.47191834,1.104,2,1,135368,11.1841540196,1.238e-06,16.2,19.8,True
59471.32535531,2.591,3,2,339376,11.1841493623,2.131e-07,39.3,46.7,True
59476.47708388,1.627,2,1,420001,11.1841428218,3.240e-07,103.7,72.4,True
59506.02025257,0.591,2,2,195086,11.1841029336,1.140e-06,50.5,51.2,True
59526.56451586,3.876,5,4,591770,11.1840751778,1.117e-07,100.0,132.8,True
59549.43105756,2.196,3,1,46469,11.1841564242,3.968e-07,18.7,15.2,True
59552.38101529,2.457,3,3,284678,11.1840794394,4.330e-07,12.1,83.3,False
59627.75303579,0.073,1,0,17397,11.1839365374,2.313e-05,12.3,0.0,True
59682.36454487,0.848,2,1,201874,11.1838642778,6.012e-07,53.1,47.2,True
59693.81684381,1.098,2,0,76052,11.1838338517,7.640e-07,13.9,0.0,True
59704.12153075,0.074,1,1,69260,11.1838104601,7.728e-06,31.9,31.9,True
59725.56386217,0.842,1,0,24541,11.1837920979,1.194e-06,9.6,0.0,True
59727.25985291,0.530,1,1,194562,11.1838059802,9.999e-07,65.9,65.8,True
59759.89545555,1.489,2,2,451281,11.1837602412,4.625e-07,44.3,44.6,True
59764.89689264,0.972,2,1,203167,11.1837563555,1.113e-06,13.9,7.9,True
60281.66688274,2.143,3,1,196962,11.1830587200,4.699e-07,31.6,26.0,True
60336.64738516,0.074,1,1,48063,11.1830012600,9.987e-06,16.3,16.3,True
60347.64802713,0.150,1,1,52625,11.1829756377,7.323e-06,8.9,8.9,True
60360.40502085,0.330,1,1,115104,11.1829495591,1.906e-06,39.7,39.6,True
60707.76839388,0.648,2,1,49739,11.1825083111,9.967e-07,33.3,26.5,True
