BatchStart
|obsid         |prnb |status           |pi_lname    |pi_fname|target_name |ra        |dec      |time                 |duration|exposure|_Search_Offset      |
|91702-01-13-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-25 08:26:36.4|   22274|   15047|0.024 (GRO J1655-40)|
|10261-01-04-00|10261|archived         |CHEN        |WAN     |GRO_J1655-40|16 54 00.0|-39 50 45|1996-06-08 12:19:03.1|   23364|   14638|0.027 (GRO J1655-40)|
|91702-01-09-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-03-21 10:04:37.6|   22469|   14323|0.024 (GRO J1655-40)|
|90428-01-01-00|90428|archived         |TOO         |PUBLIC  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-02-25 00:50:43.9|   21241|   14129|0.024 (GRO J1655-40)|
|91702-01-93-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-06-29 06:12:42.9|   22627|   14075|0.024 (GRO J1655-40)|
|91702-01-51-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-05-08 09:54:43.2|   20940|   14056|0.024 (GRO J1655-40)|
|91702-01-49-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-05-06 09:08:23.7|   21422|   13988|0.024 (GRO J1655-40)|
|90428-01-01-09|90428|archived         |TOO         |PUBLIC  |GRO_J1655-40|16 54 00.2|-39 50 46|  2005-03-02 20:52:10|   21158|   13897|0.024 (GRO J1655-40)|
|91702-01-97-00|91702|archived         |HOMAN       |JEROEN  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-07-03 01:24:40.3|   21299|   13896|0.024 (GRO J1655-40)|
|90428-01-01-04|90428|archived         |TOO         |PUBLIC  |GRO_J1655-40|16 54 00.2|-39 50 46|2005-02-27 20:30:46.1|   22881|   13887|0.024 (GRO J1655-40)|
|91704-01-01-01|91704|archived         |TOMSICK     |JOHN    |GRO_J1655-40|16 54 00.2|-39 50 46|2005-09-24 05:34:09.1|   21208|   13838|0.024 (GRO J1655-40)|
