BatchStart
|obsid         |prnb |status  |pi_lname    |pi_fname|target_name   |ra        |dec      |time                 |duration|exposure|_Search_Offset       |
|30435-01-04-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-11-28 11:08:47.6|    8412|    5662|2.657 (XTE J1550-564)|
|30435-01-05-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-11-30 07:54:45.2|    8252|    5551|2.657 (XTE J1550-564)|
|50134-02-05-00|50134|archived|LEWIN       |WALTER  |XTE_J1550-564 |15 50 40.8|-56 27 36|2000-05-05 04:24:34.3|   11685|    5512|2.657 (XTE J1550-564)|
|30435-01-25-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-12-28 18:50:49.9|    8851|    5416|2.657 (XTE J1550-564)|
|30435-01-08-00|30435|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-12-05 20:36:40.3|   10391|    5259|2.657 (XTE J1550-564)|
|40401-01-73-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-04-05 12:46:20.4|    8384|    5238|2.657 (XTE J1550-564)|
|30191-01-16-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-29 23:22:38.8|    9112|    5098|2.657 (XTE J1550-564)|
|30191-01-45-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-11-17 10:23:51.1|    6531|    5055|2.657 (XTE J1550-564)|
|60428-01-01-00|60428|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 59.0|-56 28 34|2002-01-10 21:18:30.2|    9697|    5048|0.059 (XTE J1550-564)|
|30191-01-03-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-20 19:05:40.7|    6689|    5014|2.657 (XTE J1550-564)|
|60428-01-07-00|60428|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 59.0|-56 28 34|2002-01-23 05:10:22.7|    7114|    4870|0.059 (XTE J1550-564)|
|30191-01-43-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-11-13 10:51:43.8|    7623|    4830|2.657 (XTE J1550-564)|
|30191-01-14-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-09-28 08:05:58.3|    7242|    4741|2.657 (XTE J1550-564)|
|40401-01-20-00|40401|archived|TOO         |PUBLIC  |XTE_J1550-564 |15 50 40.8|-56 27 36|1999-01-25 05:54:23.9|    7336|    4694|2.657 (XTE J1550-564)|
|30191-01-41-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-11-09 13:59:24.3|    8470|    4690|2.657 (XTE J1550-564)|
|30191-01-46-00|30191|archived|MCCLINTOCK  |JEFFREY |XTE_J1550-564 |15 50 40.8|-56 27 36|1998-11-19 18:31:58.9|    6346|    4503|2.657 (XTE J1550-564)|
