name,catalog,snr,m1,m2,mtot,mfinal,z
GW170818,GWTC-2.1-confident,12.0,34.8,27.6,62.5,59.7,0.21
GW170817,GWTC-1-confident,33.0,1.46,1.27,,2.8,0.01
GW170814,GWTC-2.1-confident,17.7,30.9,24.9,56.0,53.2,0.13
GW170809,GWTC-2.1-confident,12.8,34.1,24.2,58.5,55.7,0.21
GW170729,GWTC-2.1-confident,10.7,54.7,30.2,84.4,80.3,0.44
GW170608,GWTC-2.1-confident,15.3,10.6,7.8,18.5,17.7,0.07
GW170104,GWTC-2.1-confident,13.8,28.7,20.8,49.6,47.5,0.22
GW151226,GWTC-2.1-confident,12.7,14.2,7.5,21.7,20.7,0.1
GW151012,GWTC-2.1-confident,9.3,24.8,13.6,38.8,37.1,0.2
GW150914,GWTC-2.1-confident,26.0,34.6,30.0,64.5,61.5,0.1
