source,nu_u_hz,tooth_hz,integer_hz,band,exposure_ks,tooth_sig_single,tooth_sig_trials,tooth_rms_ul3sig_pct,integer_sig_single,integer_sig_trials,integer_rms_ul3sig_pct,inj_sens90_rms_pct,verdict
GRO_J1655-40,441.0,661.5,588.0,hard27,49.6,0.0,-2.66,3.059,0.0,-2.66,2.936,5.11,neither_upper_limits
XTE_J1550-564,276.0,414.0,368.0,bh,41.5,0.0,-2.66,1.609,0.0,-2.66,1.507,2.68,neither_upper_limits
GRS_1915+105,168.0,252.0,224.0,bt,57.8,0.0,-2.66,0.532,0.0,-2.66,0.531,0.89,neither_upper_limits
H1743-322,242.0,363.0,322.7,bh,213.0,0.0,-2.66,1.259,0.0,-2.66,1.221,1.65,neither_upper_limits
